condition_id,kind,seed,prompt_index,round,logged_agent_name,instruction_framing,payoff_scale,vignette_frame,persona_stance,persona_format,prompt_wording,choice_labels,history_format,model,cooperate_label,defect_label,recorded_choice_replayed,explicit_action_parameter,divergent,output_sha256,output_prefix,output_suffix,tar_action_member,tar_prompt_member
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8001,8,4,Player 2,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,6b9df1680954f31d164b4e50b68c5cfee61bc00c2a8cab71f97a9fae60088761,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","ooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8001,9,4,not found,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,0687a8b358788466b4d76addc880025f43867c23b046c8e010ae0982a863478c,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8002,8,4,Player 2,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,6b9df1680954f31d164b4e50b68c5cfee61bc00c2a8cab71f97a9fae60088761,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","ooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8002,9,4,not found,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,0687a8b358788466b4d76addc880025f43867c23b046c8e010ae0982a863478c,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8003,8,4,Player 2,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,6b9df1680954f31d164b4e50b68c5cfee61bc00c2a8cab71f97a9fae60088761,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","ooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8003,9,4,not found,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,0687a8b358788466b4d76addc880025f43867c23b046c8e010ae0982a863478c,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8005,8,4,Player 2,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,6b9df1680954f31d164b4e50b68c5cfee61bc00c2a8cab71f97a9fae60088761,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","ooperation. To maximize long-term payoff, I will maintain cooperation to avoid triggering a retaliatory shift to DEFECT, while continuing to monitor for any change in behavior.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8005,9,4,not found,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,0687a8b358788466b4d76addc880025f43867c23b046c8e010ae0982a863478c,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE","To maximize long-term payoff, I will maintain cooperation to sustain the high mutual reward, as defecting now may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8001,8,4,Player 2,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8001,9,4,not found,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,f26341a96acb27cf5df16b323e75c6dfbf515342282096ce0c06a67ddea5511b,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice:","ll maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8002,8,4,Player 2,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8002,9,4,not found,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,f26341a96acb27cf5df16b323e75c6dfbf515342282096ce0c06a67ddea5511b,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice:","ll maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8003,8,4,Player 2,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8003,9,4,not found,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8004,8,4,Player 2,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8004,9,4,not found,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,f26341a96acb27cf5df16b323e75c6dfbf515342282096ce0c06a67ddea5511b,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice:","ll maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8005,8,4,Player 1,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,f26341a96acb27cf5df16b323e75c6dfbf515342282096ce0c06a67ddea5511b,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice:","ll maintain the cooperative relationship to ensure a steady stream of 3 points per round, as defecting now may trigger a retaliatory cycle of DEFECT/DEFECT (1 point per round).  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive,grid,8005,9,4,not found,canonical,lambda-1,business,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,55b3c790690745f704d9afc9c04c11eb11f3ad75ffdb4a3582709af6e43705bf,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPER","f, I will maintain the cooperative relationship to ensure a steady stream of 3 points, as defecting now may trigger a retaliatory shift to DEFECT, lowering future payoffs to 1.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-business__model-gemma-4-31b__persona_stance-competitive/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-moralized__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive,grid,8001,10,5,Player 2,moralized,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,gemma-4-31b,COOPERATE,DEFECT,DEFECT,COOPERATE,1,80d745af3e93ffb640a23c8f9bffb997a486d7d25a05991d407f2bdd8dd9f633,"Opponent has shown a consistent pattern of cooperation. To maximize long-term payoff, maintaining this mutual cooperation is the most stable strategy, as defecting may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",". To maximize long-term payoff, maintaining this mutual cooperation is the most stable strategy, as defecting may trigger a retaliatory shift to DEFECT, lowering future scores.  ACTION: CHOOSE_PD_ACTION choice: COOPERATE",iterated_pd/sweeps/runs/instruction_framing-moralized__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-moralized__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
