model,question,seed,spearman_t0_t1,undefined_due_to_constant_profile
gemma-4-31b,q182_homosexuality,6001,0.8999999999999998,False
gemma-4-31b,q182_homosexuality,6002,0.8999999999999998,False
gemma-4-31b,q182_homosexuality,6003,0.8999999999999998,False
gemma-4-31b,q182_homosexuality,6004,0.8999999999999998,False
gemma-4-31b,q182_homosexuality,6005,0.8999999999999998,False
gemma-4-31b,q182_homosexuality,6006,0.8999999999999998,False
gemma-4-31b,q188_euthanasia,6001,0.9999999999999999,False
gemma-4-31b,q188_euthanasia,6002,0.9999999999999999,False
gemma-4-31b,q188_euthanasia,6003,0.9999999999999999,False
gemma-4-31b,q188_euthanasia,6004,0.9999999999999999,False
gemma-4-31b,q188_euthanasia,6005,0.9999999999999999,False
gemma-4-31b,q188_euthanasia,6006,0.9999999999999999,False
gemma-4-31b,q1_family_importance,6001,,True
gemma-4-31b,q1_family_importance,6002,,True
gemma-4-31b,q1_family_importance,6003,,True
gemma-4-31b,q1_family_importance,6004,,True
gemma-4-31b,q1_family_importance,6005,,True
gemma-4-31b,q1_family_importance,6006,,True
qwen3.5-27b-fp8,q182_homosexuality,6001,0.8999999999999998,False
qwen3.5-27b-fp8,q182_homosexuality,6002,0.8999999999999998,False
qwen3.5-27b-fp8,q182_homosexuality,6003,0.8999999999999998,False
qwen3.5-27b-fp8,q182_homosexuality,6004,0.8999999999999998,False
qwen3.5-27b-fp8,q182_homosexuality,6005,0.8999999999999998,False
qwen3.5-27b-fp8,q182_homosexuality,6006,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6001,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6002,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6003,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6004,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6005,0.8999999999999998,False
qwen3.5-27b-fp8,q188_euthanasia,6006,0.8999999999999998,False
qwen3.5-27b-fp8,q1_family_importance,6001,,True
qwen3.5-27b-fp8,q1_family_importance,6002,,True
qwen3.5-27b-fp8,q1_family_importance,6003,,True
qwen3.5-27b-fp8,q1_family_importance,6004,,True
qwen3.5-27b-fp8,q1_family_importance,6005,,True
qwen3.5-27b-fp8,q1_family_importance,6006,,True
qwen3.5-4b,q182_homosexuality,6001,0.6,False
qwen3.5-4b,q182_homosexuality,6002,0.8944271909999157,False
qwen3.5-4b,q182_homosexuality,6003,0.8944271909999157,False
qwen3.5-4b,q182_homosexuality,6004,0.8207826816681233,False
qwen3.5-4b,q182_homosexuality,6005,0.8207826816681233,False
qwen3.5-4b,q182_homosexuality,6006,0.6668859288553501,False
qwen3.5-4b,q188_euthanasia,6001,,True
qwen3.5-4b,q188_euthanasia,6002,,True
qwen3.5-4b,q188_euthanasia,6003,,True
qwen3.5-4b,q188_euthanasia,6004,,True
qwen3.5-4b,q188_euthanasia,6005,,True
qwen3.5-4b,q188_euthanasia,6006,,True
qwen3.5-4b,q1_family_importance,6001,0.6324555320336759,False
qwen3.5-4b,q1_family_importance,6002,0.44721359549995787,False
qwen3.5-4b,q1_family_importance,6003,0.6324555320336759,False
qwen3.5-4b,q1_family_importance,6004,0.05735393346764044,False
qwen3.5-4b,q1_family_importance,6005,0.4596273598704939,False
qwen3.5-4b,q1_family_importance,6006,0.6324555320336759,False
qwen3.5-9b,q182_homosexuality,6001,0.9999999999999999,False
qwen3.5-9b,q182_homosexuality,6002,0.9999999999999999,False
qwen3.5-9b,q182_homosexuality,6003,0.9999999999999999,False
qwen3.5-9b,q182_homosexuality,6004,0.9999999999999999,False
qwen3.5-9b,q182_homosexuality,6005,0.9999999999999999,False
qwen3.5-9b,q182_homosexuality,6006,0.9999999999999999,False
qwen3.5-9b,q188_euthanasia,6001,0.6454972243679028,False
qwen3.5-9b,q188_euthanasia,6002,0.6454972243679028,False
qwen3.5-9b,q188_euthanasia,6003,0.7499999999999999,False
qwen3.5-9b,q188_euthanasia,6004,0.7499999999999999,False
qwen3.5-9b,q188_euthanasia,6005,0.7499999999999999,False
qwen3.5-9b,q188_euthanasia,6006,0.6454972243679028,False
qwen3.5-9b,q1_family_importance,6001,,True
qwen3.5-9b,q1_family_importance,6002,,True
qwen3.5-9b,q1_family_importance,6003,,True
qwen3.5-9b,q1_family_importance,6004,,True
qwen3.5-9b,q1_family_importance,6005,,True
qwen3.5-9b,q1_family_importance,6006,,True
